date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012-03-06,0.0162,0.0013,0.2511,0.0,0.0467,-0.0099,0.0046,-0.0409,0.042,-0.0034,0.0017,-0.0207,,0.0408,0.0,0.0086,0.047,-0.0144,-0.0793,0.0157,0.0025,-0.0684,-0.0052,0.0012,0.0,0.0066,0.0768,0.0038,0.028,0.0111,0.4023
2012-03-07,0.1943,,0.3146,-0.0786,0.0493,-0.0499,0.0114,,0.0034,-0.0023,-0.0119,0.0199,-0.0055,0.0036,0.0,0.0,0.0018,0.0455,0.0267,0.0386,-0.0041,-0.0645,-0.04,0.0,0.0,0.0,0.0933,0.0,,0.0215,0.4094
2012-03-08,0.0846,,0.2034,,0.0222,0.0049,0.0,0.0,-0.0263,0.0093,0.0167,0.0385,-0.0025,-0.0127,0.0,0.0329,-0.007,0.0543,0.012,0.042,0.0253,-0.0118,-0.0249,0.0,-0.0158,-0.0042,-0.0043,0.0,,0.0586,0.3331
2012-03-09,-0.0095,0.0035,0.0161,,0.0558,-0.0225,0.0,0.0236,0.0124,0.008,0.0,0.0408,-0.0027,0.019,0.0,0.0,0.0118,0.0025,-0.042,0.1157,0.0053,-0.0125,0.0,-0.0585,0.0099,0.0,0.0,0.0108,,,0.3078
2012-03-10,0.067,-0.0116,0.0747,,-0.0047,-0.017,0.0189,-0.017,0.0228,0.0207,,-0.0057,-0.0027,0.0092,0.0,-0.0196,,0.1145,-0.1138,0.0037,-0.0036,-0.0802,-0.0204,0.0,0.0073,0.0,,0.0109,,0.0,0.2008
2012-03-11,,0.0286,0.0013,,-0.0107,,,,0.0393,,,,,,,,0.0,,-0.1078,,,,,0.0,,,,,,,0.0078
2012-03-12,0.0,0.0,0.0835,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1596,,0.0,0.0,,,,0.0,,,,,0.0122
2012-03-13,0.0248,-0.0016,0.1154,,-0.0363,0.0057,-0.0112,0.0,0.0055,0.0016,-0.0045,0.022,-0.0096,-0.0208,0.0,0.0086,0.0103,-0.0004,0.0348,0.0242,0.0093,-0.0568,0.0185,0.037,0.0,0.0322,-0.0039,0.0,0.0118,0.0483,0.2997
2012-03-14,0.0628,-0.0138,0.1923,,0.0243,-0.0231,0.0,0.009,0.0109,-0.0046,,0.0052,,0.0108,0.0167,0.0101,,0.0585,0.0776,-0.0188,0.0,,-0.005,0.014,0.0,0.0,0.0262,0.0,,,0.3166
2012-03-15,-0.0015,0.0151,0.2731,,0.1202,-0.0164,0.0,0.0,0.0096,0.0079,0.0125,0.0,,0.0366,0.0,0.0334,0.0044,0.0219,0.005,-0.0039,0.0,,-0.0221,0.0,0.0284,0.0,0.0699,0.0,,-0.0009,0.2803
2012-03-16,-0.0009,,-0.0155,,0.0079,-0.0168,0.0,0.0303,0.022,0.008,0.05,0.0633,-0.0058,0.0295,0.0,,0.0045,0.0912,-0.1007,0.0079,0.0,-0.0119,,0.0122,0.0072,0.0159,0.0206,0.0,-0.1658,,0.2417
2012-03-17,0.1117,-0.0154,0.0684,-0.0395,0.0607,-0.044,0.0,-0.0485,0.0273,0.0017,0.0,0.0057,,-0.0037,0.0,0.0,0.007,0.0,-0.1259,0.0268,0.0,-0.0741,-0.0135,,0.0,0.0133,,0.0,,0.0241,0.1211
2012-03-18,0.0132,,0.0076,,,,,,,,,,,,,,,-0.0054,-0.1309,,,,,,0.0,,,,,,0.1006
2012-03-19,-0.018,0.0,0.1099,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,-0.092,,0.0,0.0,,,,,,,,,0.0118
2012-03-20,0.055,0.024,0.1452,,0.0307,-0.0049,0.0,-0.0614,0.0828,0.0093,,0.0173,-0.0032,0.0715,0.0,,0.0299,0.0226,-0.0292,0.0025,0.0036,-0.0281,0.0,-0.0722,0.0,-0.0069,0.0,0.0,0.0,0.0,0.3024
2012-03-21,0.0331,-0.0023,0.2615,,0.004,-0.0143,0.0,-0.0237,0.0061,-0.0045,0.0254,0.0047,-0.0022,-0.0039,0.0,0.0186,-0.0008,0.0628,-0.002,-0.0037,0.0,-0.0015,0.0,-0.0818,0.0,0.0,0.012,0.0,,0.036,0.3321
2012-03-22,0.0337,0.0025,0.1197,-0.0209,0.01,0.0242,0.0,-0.0278,0.0342,0.0247,,0.0461,0.0064,0.0105,0.0,0.0536,0.0,0.0,0.0173,0.0305,0.002,-0.011,-0.0177,0.0,0.0107,0.0166,,0.0419,0.0125,0.0122,0.3302
2012-03-23,-0.0344,0.0305,0.0851,-0.0308,0.0163,0.0012,0.0,-0.045,-0.0048,0.0019,-0.0347,0.0342,,0.0707,-0.0292,0.0,0.0034,-0.0004,0.0418,0.0607,0.0404,-0.1121,,0.0,0.0,0.0,-0.0004,0.0,-0.0148,-0.0096,0.2845
2012-03-24,-0.037,0.0231,0.0404,,0.0061,0.0021,0.0126,0.0055,,0.0,0.0,0.0182,,0.0162,0.0,0.0247,,0.0256,-0.0394,0.0,0.0,-0.061,-0.0478,0.0,0.0169,0.0,,0.0,0.0063,-0.0055,0.1517
2012-03-25,-0.0207,0.0322,-0.0166,,,0.0032,,,,,,,,,0.0,,0.0,0.017,-0.1419,,,,-0.0148,,0.0126,0.0,,,0.0,,0.0568
2012-03-26,-0.0027,0.0067,0.0904,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0303,0.005,,0.0,0.0,,,0.0,,,,,,-0.0034
2012-03-27,0.0768,0.0449,0.1167,-0.0357,0.0377,-0.0036,0.0,-0.0114,0.0132,,0.0202,0.0701,-0.0042,0.0662,0.0237,0.0105,-0.001,0.0454,-0.1021,0.0617,0.0,-0.0237,-0.0472,-0.0263,0.0417,0.0166,-0.0045,0.0,0.0,0.0101,0.3666
2012-03-28,0.1245,0.0048,0.1703,,0.0145,-0.0105,0.0049,-0.067,0.0,0.0018,-0.0527,-0.0259,,0.0121,0.0,0.041,0.005,0.052,-0.1412,0.0439,0.0221,-0.004,-0.0328,,0.0,0.0,0.024,0.0,0.0,-0.0081,0.3751
2012-03-29,0.1272,0.0013,0.0841,0.0079,0.0734,-0.0205,0.0182,-0.1591,0.0,0.0107,,0.0631,,0.0,0.0,0.0,,0.1432,-0.0367,0.0124,0.0,-0.0678,0.0248,0.0,0.0111,0.0148,-0.0439,0.0,,0.034,0.3493
2012-03-30,-0.0171,-0.0232,0.1174,,0.0296,-0.0108,0.0094,0.0527,,0.0109,0.0333,0.0075,-0.0102,0.008,0.0,0.0,-0.0027,0.0109,-0.0034,-0.0026,0.0056,-0.0289,0.0069,0.0,0.0071,0.0,0.0,0.0,0.0074,0.0049,0.3254
2012-03-31,-0.0478,-0.0127,0.0659,,0.0088,-0.008,0.0093,0.0,0.0056,0.0,0.0013,0.0012,-0.0039,0.0575,0.0,0.0334,0.0153,0.0273,-0.1543,-0.011,0.03,-0.0069,-0.0135,0.0,0.0103,0.0,,0.0,0.0074,,0.1083
2012-04-01,,,0.0144,,,0.0117,,,,,,,,,,,,,-0.1674,,0.0,,,,0.0,0.0,0.0,,,,0.0361
2012-04-02,0.0,0.0,0.0896,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0149,0.0,0.0,-0.2178,,0.0,0.0,,,,0.0,,,,,0.0294
2012-04-03,0.1273,-0.0038,0.3307,,-0.0054,0.0109,0.0,,0.0046,-0.0144,0.003,0.0301,,0.0879,0.0184,-0.0149,-0.0032,0.009,0.0293,0.0045,-0.028,0.0,0.0,0.0,-0.004,0.051,0.0864,0.0,0.0,0.0241,0.4122
2012-04-04,0.0928,0.0433,0.1604,0.0,0.0711,-0.0646,0.0,-0.0053,-0.0261,0.0,0.0189,0.0243,-0.0028,-0.009,0.0,0.0,0.0123,0.0661,0.0855,0.0385,0.0209,-0.004,,-0.0377,0.0,0.0,0.0038,0.0,,0.0308,0.3677
2012-04-05,0.0234,-0.0015,0.1785,,0.0607,0.0182,0.0,,-0.0122,0.0044,,0.0099,-0.0025,0.0709,0.0,0.0933,0.0086,-0.034,0.0117,0.0112,0.0,,0.0,,-0.002,0.0,0.0605,0.0,0.0074,0.032,0.2765
2012-04-06,-0.0218,,0.1457,,0.0,-0.0009,0.0,,-0.0322,0.002,0.0084,0.067,,0.062,0.0,0.1113,0.0248,0.0087,0.0307,-0.0006,0.0189,,-0.039,,0.0,0.0,0.013,-0.009,,0.033,0.3368
2012-04-07,0.0,,-0.0426,,0.006,,0.0802,,,,0.0018,-0.004,,-0.0057,0.0,0.0107,,-0.0192,-0.121,0.0089,0.0,,,,,,,,,,0.1315
2012-04-08,,,-0.0079,,,,0.0546,,,,,,,-0.0124,,,,,-0.0378,,,,,,,0.0,,,,,-0.0014
2012-04-09,-0.004,0.0,0.0896,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1003,,0.0,0.0,,,,0.0,,,,,0.0075
2012-04-10,0.0171,,0.1544,,-0.0186,-0.0499,0.0,0.0,0.0099,-0.004,,0.0464,0.0,0.0061,0.0,0.0277,0.0,0.0,-0.0109,-0.0602,-0.0064,0.0457,,0.0,0.0,0.0,0.0015,0.0,0.0,0.0464,0.2835
2012-04-11,0.0983,,0.1632,,0.0688,-0.0287,0.0,-0.0527,-0.011,-0.0069,0.0,0.0081,0.0058,0.0054,0.0,0.0513,0.0,0.0331,-0.0817,0.0518,-0.0266,-0.0325,-0.0782,0.0261,0.0147,0.0,-0.024,0.0,,0.0333,0.424
2012-04-12,0.0932,0.0029,0.1353,,0.0677,-0.1571,0.0,0.0,0.0055,0.0044,-0.0028,0.0079,,-0.0041,0.0,0.0435,0.0014,0.0394,-0.1842,0.0071,0.0,-0.0289,-0.008,0.0073,0.0,0.023,0.0,0.0,0.0,0.0212,0.2993
2012-04-13,0.002,0.0058,0.296,,0.1329,-0.0196,0.0,,0.0002,0.0,0.0071,0.0606,-0.0033,0.0361,0.0119,0.0,,0.0245,0.0452,0.0037,0.0,0.0217,0.028,,0.0,0.0,0.0,0.0,,,0.2773
2012-04-14,0.054,0.0115,0.0311,,0.0042,-0.0067,0.0,,0.0087,0.0067,0.008,0.0149,-0.0032,0.0064,0.0,0.0,0.0067,0.0146,-0.0979,0.0536,0.0,,,0.0,0.0,0.0,0.0,0.0031,,0.0351,0.1884
2012-04-15,-0.0077,,-0.0018,,,-0.0169,,,,,,0.0,,,,,,0.0,-0.044,,,,,,,,,,,,0.0182
2012-04-16,0.0,0.0,0.0896,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1346,,0.0,0.0,,,,0.0,,,,,0.056
2012-04-17,0.0878,,0.1909,0.0096,0.0234,-0.0033,-0.0145,0.034,0.071,-0.0043,0.0031,0.018,-0.0159,0.0394,0.0,0.019,0.0125,0.019,0.0755,0.1067,,-0.0436,-0.0123,0.0,0.0082,0.0,0.0189,0.0,0.0088,0.0,0.3958
