date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012-03-09,-46.032,-35.042,56.725,,56.25,-42.169,-54.067,0.444,-56.18,53.572,-49.254,-14.823,-53.57,-42.857,-71.779,-89.462,41.482,-17.297,35.269,17.819,9.0,-83.27,-45.333,27.43,-1.999,7.603,-33.168,64.171,,,21.329
2012-03-10,12.302,-66.949,5.052,,20.816,-41.667,-7.98,-59.292,-77.654,20.0,,-26.638,-52.941,-14.054,-43.03,-89.27,,9.135,27.75,-69.132,-44.565,-49.248,-44.736,-53.554,-1.961,-63.522,,20.77,,-72.143,-10.592
2012-03-11,,-33.333,-91.787,,-74.359,,,,24.797,,,,,,,,-71.069,,-78.261,,,,,-76.415,,,,,,,-93.597
2012-03-12,-8.028,-32.787,-83.374,,,-60.63,,-58.772,-55.08,-63.83,,-75.217,-5.749,-80.61,-42.516,-78.205,-41.614,-72.105,-71.077,,-16.579,-65.672,,,,-63.125,,,,,-99.001
2012-03-13,47.566,-65.854,39.286,,50.245,-80.0,-30.556,-58.261,-9.948,-27.273,33.333,10.153,28.57,-22.124,-42.012,8.077,55.99,-29.87,40.163,18.623,47.709,2.837,-71.895,-5.556,-1.922,9.443,10.0,33.333,-38.983,65.682,34.301
2012-03-14,-15.385,-65.322,28.169,,33.013,-59.533,-53.211,-36.91,-9.743,-8.935,,18.814,,-41.156,-41.52,-77.917,,-1.786,27.402,-22.84,-17.765,,28.182,-28.766,-26.066,-62.805,9.788,-24.652,,,49.267
2012-03-15,21.842,27.273,31.713,,32.39,17.295,-52.728,-36.441,-77.041,21.164,0.0,-62.655,,-40.728,-41.041,-88.773,-71.177,-71.574,34.635,18.628,-72.222,,27.556,-75.909,18.49,-62.424,-11.111,-24.311,,-46.405,34.823
2012-03-16,49.955,,36.459,,18.518,28.571,-52.252,-57.143,12.608,7.878,0.0,45.683,-6.52,-30.48,-70.115,,-41.86,-28.571,29.176,-53.433,-44.0,-82.546,,39.947,-1.819,11.11,-10.909,-23.981,84.386,,30.929
2012-03-17,39.184,-65.117,44.324,0.0,31.515,-39.56,-28.001,-14.049,-53.694,7.738,0.0,-26.044,,-49.915,16.038,-65.909,-12.572,-28.218,3.504,-68.546,39.767,4.422,-16.868,,-50.451,10.937,,1.315,,36.905,-21.116
2012-03-18,-90.745,,-95.957,,,,,,,,,,,,,,,-85.432,-91.041,,,,,,-25.334,,,,,,-90.695
2012-03-19,-10.4,-64.616,-63.305,,,-79.562,,-78.189,-76.471,-81.672,,-87.5,-52.687,-89.83,-69.832,,-70.454,-85.222,-82.954,,-44.231,-82.27,,,,,,,,,-99.504
2012-03-20,36.029,5.673,60.877,,-2.608,-38.267,-51.542,-34.147,45.919,-26.349,,45.937,-52.128,44.627,-9.341,,61.216,15.164,25.472,-84.024,10.17,19.047,9.575,52.323,-25.0,72.154,-77.376,1.293,-77.778,-46.584,20.373
2012-03-21,3.989,-28.889,39.866,,-75.324,-58.423,-51.092,53.455,-53.271,-26.019,-49.352,25.875,-51.579,16.667,-69.399,-20.163,12.5,-11.429,37.9,21.364,-43.926,-82.069,-71.93,-6.666,-49.565,-27.868,-77.027,-23.707,,-19.513,34.323
2012-03-22,34.243,6.123,34.794,63.333,-1.276,3.728,-50.649,-78.21,-29.493,9.722,,25.482,-51.043,0.0,-8.066,50.39,-14.062,-55.319,36.825,29.563,48.243,-63.698,10.715,-76.349,20.338,30.225,,21.0,41.666,-72.728,32.4
2012-03-23,37.459,42.8,-5.558,65.306,31.922,39.166,-25.641,41.886,-5.882,-7.575,70.0,25.102,,-9.859,62.643,-43.58,29.642,-10.489,44.756,-5.263,27.096,8.025,,-52.264,-49.367,-63.83,-7.966,-23.749,-34.653,-44.91,41.301
2012-03-24,-21.338,4.577,-40.674,,18.0,54.844,18.984,-56.554,,-62.65,-4.653,-2.857,,-69.626,-40.102,-20.729,,-69.838,14.644,-83.978,-44.736,-45.182,39.667,-28.049,20.656,-63.492,,1.613,-33.653,-72.024,-9.393
2012-03-25,-93.874,4.487,-84.016,,,-79.605,,,,,,,,,-69.697,,-71.212,-69.515,-87.483,,,,-71.978,,-49.181,-63.158,,,-77.143,,-94.609
2012-03-26,9.188,4.403,-79.825,,,-58.823,,-56.134,-52.466,-62.276,,-75.445,-2.042,-79.503,-39.0,-77.056,-42.0,-38.673,-86.301,,9.375,-63.036,,,-74.286,,,,,,-97.521
2012-03-27,54.517,70.0,34.367,56.818,58.033,-17.42,-25.619,8.666,-75.893,,29.367,45.047,-1.999,11.126,52.304,-65.209,49.879,6.723,33.019,10.654,-44.444,-81.25,10.578,16.334,50.586,45.07,12.83,33.862,-76.415,-15.789,21.86
2012-03-28,53.212,-32.926,64.109,,-4.614,38.846,-25.306,53.443,-75.556,-43.026,-5.495,64.73,,-38.275,-39.714,27.688,-71.154,-23.162,51.793,30.0,-16.455,-80.984,10.378,,1.155,-63.265,26.852,-24.11,-51.851,-43.352,53.175
2012-03-29,50.546,39.642,-1.871,-60.344,39.456,-38.317,-0.401,82.028,-2.184,33.654,,-28.831,,-79.186,16.798,-19.083,,34.429,31.332,-36.126,10.075,24.456,10.185,-75.793,49.81,9.133,26.363,-49.02,,-42.857,39.921
2012-03-30,36.359,-0.58,38.889,,28.907,2.686,-25.0,-59.872,,-24.356,-5.375,-28.548,31.333,-47.605,-69.626,-88.278,-13.27,6.237,34.398,-35.751,-16.393,-42.857,-43.877,-75.494,42.004,-63.0,-31.708,-74.219,-75.229,12.255,37.694
2012-03-31,55.267,48.85,21.97,,56.462,45.261,0.0,-59.494,-75.217,-61.823,-52.128,-40.13,-50.961,4.507,-8.756,-52.727,-13.084,-23.567,20.621,-35.385,10.145,-80.696,10.715,-75.197,48.53,9.777,,2.985,-74.546,,-5.754
2012-04-01,,,-92.152,,,-79.464,,,,,,,,,,,,,-81.473,,-71.887,,,,-75.445,-62.745,-76.923,,,,-95.141
2012-04-02,-25.867,-34.443,-84.324,,,-79.229,,-79.495,-50.0,-61.473,,-76.091,-1.889,-78.823,-38.814,-64.195,-42.325,-84.534,-74.323,,-15.476,-80.442,,,,-62.745,,,,,-98.056
2012-04-03,51.081,64.596,38.81,,-8.014,-58.457,-75.0,,19.662,-3.631,29.71,15.676,,53.77,-8.108,-28.086,30.158,18.919,34.136,-4.061,11.11,35.516,-44.279,-74.902,18.286,74.616,62.573,1.865,-73.874,-42.542,40.312
2012-04-04,52.793,35.666,30.15,-59.321,50.506,31.02,-49.607,-57.237,1.27,-42.179,-6.121,5.556,-50.961,-7.561,-68.664,-88.014,40.477,41.277,29.991,59.723,-15.626,-78.859,,-49.407,-50.355,-28.112,-55.294,-23.282,,12.735,48.416
2012-04-05,25.104,-68.556,28.025,,-55.254,46.667,49.609,,4.238,34.601,,5.406,-50.0,57.427,-5.117,-38.757,9.92,27.328,36.215,-68.421,39.583,,-44.724,,-0.71,-28.441,25.732,-48.061,-74.074,-13.114,24.125
2012-04-06,-15.86,,13.704,,-33.107,45.556,-1.159,,4.238,12.318,-53.124,22.727,,69.054,-68.076,75.9,-44.104,5.984,36.824,-21.25,59.104,,-72.081,,-25.532,-64.056,-10.235,23.284,,-13.587,23.172
2012-04-07,-83.715,,-80.612,,35.281,,-50.0,,,,-52.577,-53.016,,-69.491,-5.117,-50.735,,-54.081,-44.628,-52.868,-72.831,,,,,,,,,,-83.369
2012-04-08,,,-92.165,,,,-49.612,,,,,,,-89.83,,,,,-91.013,,,,,,,-64.186,,,,,-99.049
2012-04-09,-16.488,-36.787,-84.337,,,-58.702,,-51.539,3.813,-61.905,,-76.545,0.0,-79.437,-36.405,-75.413,-44.0,-69.106,-88.02,,7.878,-58.076,,,,-64.186,,,,,-97.623
